Observation,PublicationShort,Publication1,Publication2,Publication3,Publication4,Publication5,Publication6,NoPublication,Site,Region,Country,Latitude,Longitude,GC,MAT,MAP,Biomes,Biomes_Detail,Sand,Silt,Clay,Magnitude1,Magnitude2,Magnitude3,LUC,LUC_Detail,Duration,Depth,pH_C,pH_T,RR_pH,pH,pH_var,Csoil,Csoil_var,Nsoil,Nsoil_var,CNsoil,CNsoil_var,Nmin,Nmin_var,Nfixation,Nfixation_var,Nitrification,Nitrification_var,Denitrification,Denitrification_var,Meth,Meth_var,MicrobialBiomass,MicrobialBiomass_var,MicrobialBiomass_Detail,Respiration,Respiration_var,Respiration_Detail,MicrobialGroup,MicrobialGroup1,MicrobialGroup_Detail,OTU,OTU_var,Chao,Chao_var,ACE,ACE_var,Shannon,Shannon_var,BG,BG_var,AG,AG_var,NAG,NAG_var,LAP,LAP_var,AP,AP_var,CEL,CEL_var,XYL,XYL_var,PO,PO_var,PER,PER_var,Urease,Urease_var,Invertase, Invertase_var,EnzymeMethod,EnzymeTem
1,"Hayden et al., 2012; Hovenden et al., 2017; Pendall et al., 2011","Hayden et al. Changes in the microbial community structure of bacteria, archaea and fungi in response to elevated CO2 and warming in an Australian native grassland soil. Environmental Microbiology 14, 3081-3096 (2012).","Hovenden, M. J., Newton, P. C. & Osanai, Y. Warming has a larger and more persistent effect than elevated CO2 on growing season soil nitrogen availability in a species-rich grassland. Plant and Soil 421, 417-428 (2017).","Pendall, E., Osanai, Y., Williams, A. L. & Hovenden, M. J. Soil carbon storage under simulated climate change is mediated by plant functional type. Global Change Biology 17, 505-514 (2011).",,,,3,"TasFACE, Pontville",Tasmania,Australia,-42.7,147.2666667,W,11.6,560,Grassland,Australian native grassland (C4),,,,2,,,,,5,0–5,,,,,,0.153273871,0.003736151,0.117783036,0.008316187,0.033395643,0.001405155,0.419712809,0.195824443,,,,,,,,,0.171966709,0.018253118,MBC,-0.411373545,0.036232526,lab,Bacteria,Bacteria,Bacteria,0.263677079,0.033563752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,-42.7,147.2666667,W,11.6,560,Grassland,Australian native grassland (C3),,,,2,,,,,5,0–5,,,,,,0.046701093,0.008584631,0.054067221,0.014166752,0.007262196,0.000792768,0.419712809,0.195824443,,,,,,,,,-0.015405351,0.012501292,MBC,-0.410962648,0.202448671,lab,Bacteria,Bacteria,Bacteria,0.003746325,0.0041495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,-42.7,147.2666667,W,11.6,560,Grassland,Australian native grassland (C4),,,,2,,,,,5,5–10,,,,,,0.087621691,0.013175828,0.048790164,0.024767574,0.034411998,0.002545309,,,,,,,,,,,-0.241819159,0.135390822,MBC,0.354094297,0.014882311,lab,Bacteria,Bacteria,Bacteria,-0.049128631,0.011103277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,-42.7,147.2666667,W,11.6,560,Grassland,Australian native grassland (C3),,,,2,,,,,5,5–10,,,,,,-0.010695289,0.006314002,-0.074107972,0.011019201,0.037850224,0.000403306,,,,,,,,,,,-0.213539087,0.373703829,MBC,0.354992242,0.036087855,lab,Bacteria,Bacteria,Bacteria,-0.140942414,0.00491762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,-42.7,147.2666667,eCO2,11.6,560,Grassland,Australian native grassland (C4),,,,149,,,,,5,0–5,,,,,,-0.031155168,0.013020674,-0.087011377,0.015208907,0.031297007,0.000741539,0.546370354,0.349412992,,,,,,,,,-0.518575496,0.013658567,MBC,-0.026111144,0.09424455,lab,Bacteria,Bacteria,Bacteria,0.075507553,0.037768751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,-42.7,147.2666667,eCO2,11.6,560,Grassland,Australian native grassland (C3),,,,149,,,,,5,0–5,,,,,,0.252199384,0.006226447,0.200670695,0.011350883,0.063535832,0.000973434,0.546370354,0.349412992,,,,,,,,,-0.293851123,0.027267496,MBC,-0.168384049,0.046739249,lab,Bacteria,Bacteria,Bacteria,-0.042722817,0.00489409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,-42.7,147.2666667,eCO2,11.6,560,Grassland,Australian native grassland (C4),,,,149,,,,,5,5–10,,,,,,-0.104140259,0.017669906,-0.162518929,0.025960208,0.053260723,0.001843085,,,,,,,,,,,-0.558357548,0.091313862,MBC,-0.052440033,0.111412211,lab,Bacteria,Bacteria,Bacteria,-0.158578592,0.005986095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,-42.7,147.2666667,eCO2,11.6,560,Grassland,Australian native grassland (C3),,,,149,,,,,5,5–10,,,,,,0.231618178,0.009850527,0.133531393,0.020727041,0.078443621,0.000857591,,,,,,,,,,,-0.140699882,0.142502956,MBC,-0.405031551,0.107385453,lab,Bacteria,Bacteria,Bacteria,-0.112879348,0.007198573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,-42.7,147.2666667,W_eCO2,11.6,560,Grassland,Australian native grassland (C4),,,,2,149,,,,5,0–5,,,,,,-0.106724772,0.013880339,-0.133531393,0.016014739,0.007916558,4.16343E-05,-0.846789591,1.234202012,,,,,,,,,-0.295431945,0.006545894,MBC,0.306350941,0.097198906,lab,Bacteria,Bacteria,Bacteria,0.223522986,0.033029717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,-42.7,147.2666667,W_eCO2,11.6,560,Grassland,Australian native grassland (C3),,,,2,149,,,,5,0–5,,,,,,0.230289274,0.002398444,0.200670695,0.005152535,0.017341475,0.000792256,-0.846789591,1.234202012,,,,,,,,,-0.154560768,0.015101562,MBC,0.341292714,0.057299333,lab,Bacteria,Bacteria,Bacteria,-0.126737214,0.008589907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
